date,onset_dt,test_dt,report_dt,hospit_dt,death_dt,death_dt_hospit,death_dt_nohospit,total_tested
1/30/20,1,0,0,1,0,0,0,40
1/31/20,0,0,0,2,0,0,0,32
2/1/20,3,0,0,2,0,0,0,19
2/2/20,1,0,0,0,0,0,0,11
2/3/20,1,0,0,2,0,0,0,14
2/4/20,2,0,0,2,0,0,0,26
2/5/20,0,0,0,1,0,0,0,28
2/6/20,0,0,0,1,0,0,0,13
2/7/20,2,0,0,1,0,0,0,15
2/9/20,0,0,0,1,0,0,0,9
2/10/20,0,0,0,2,0,0,0,13
2/11/20,1,0,0,3,0,0,0,22
2/12/20,0,0,0,1,0,0,0,20
2/13/20,2,0,0,1,0,0,0,7
2/14/20,2,0,0,3,0,0,0,9
2/15/20,4,0,0,2,0,0,0,5
2/17/20,2,0,0,3,0,0,0,0
2/18/20,2,0,0,3,0,0,0,9
2/19/20,1,0,0,5,0,0,0,14
2/20/20,7,0,0,3,0,0,0,10
2/21/20,5,0,0,5,0,0,0,14
2/22/20,3,0,0,2,0,0,0,2
2/23/20,7,0,0,2,0,0,0,5
2/24/20,13,1,1,5,0,0,0,48
2/25/20,11,1,2,4,0,0,0,171
2/26/20,14,10,6,9,0,0,0,319
2/27/20,15,10,5,4,0,0,0,277
2/28/20,23,10,16,5,0,0,0,450
2/29/20,25,13,14,12,0,0,0,257
3/1/20,31,11,12,10,0,0,0,366
3/2/20,46,31,20,15,0,0,0,488
3/3/20,42,33,27,17,0,0,0,683
3/4/20,57,61,39,12,0,0,0,569
3/5/20,60,62,58,15,2,0,2,517
3/6/20,88,73,64,23,0,0,0,933
3/7/20,87,49,58,8,0,0,0,709
3/8/20,115,68,62,17,1,1,0,724
3/9/20,162,192,65,29,0,0,0,1676
3/10/20,216,212,127,40,2,0,2,2169
3/11/20,210,334,206,47,3,2,1,2686
3/12/20,228,357,281,51,4,1,3,4666
3/13/20,272,432,309,55,3,2,1,4695
3/14/20,276,420,196,64,5,4,1,5185
3/15/20,239,326,538,54,8,6,2,2486
3/16/20,317,1062,362,117,7,6,1,5851
3/17/20,224,1085,632,96,12,10,2,9372
3/18/20,185,1211,810,112,8,4,4,10485
3/19/20,120,832,1210,107,13,13,0,9103
3/20/20,155,1145,1055,139,21,17,4,7984
3/21/20,107,685,959,118,19,14,5,5940
3/22/20,83,548,921,134,18,13,5,3032
3/23/20,107,1462,599,156,23,15,8,6840
3/24/20,63,1240,1263,182,19,11,8,5519
3/25/20,86,1071,852,198,39,27,12,7547
3/26/20,52,1117,1468,163,38,29,9,7646
3/27/20,75,1309,1152,205,31,24,7,7164
3/28/20,49,722,994,123,57,31,26,5466
3/29/20,36,434,1099,120,45,31,14,2617
3/30/20,66,1308,739,160,58,35,23,4699
3/31/20,42,1133,930,120,44,28,16,6860
4/1/20,49,1013,1107,92,57,31,26,6544
4/2/20,40,878,1044,90,60,42,18,6770
4/3/20,38,928,960,70,54,34,20,6399
4/4/20,31,485,744,52,55,21,34,4984
4/5/20,23,281,655,43,49,22,27,3197
4/6/20,35,922,541,68,50,31,19,4271
4/7/20,31,718,587,55,53,26,27,6599
4/8/20,32,611,810,58,57,25,32,6372
4/9/20,23,559,704,56,44,19,25,5847
4/10/20,23,308,561,34,49,20,29,3856
